,in_deg,out_deg,in_wdeg,out_wdeg,deg,deg_ratio,is_sink,is_source,nbr_deg_mean,nbr_deg_max,dag_layer_norm,pagerank_dep,pagerank_use,hits_hub,hits_auth,coreness,betweenness_approx,harmonic_in,is_articulation,reach_dependencies,reach_dependents,community_size,within_comm_z,participation,n_neighbor_comms,neighbor_comm_entropy,cross_comm_frac,type_in_deg,type_in_wdeg,type_out_deg,type_out_wdeg,type_in_depth_min,type_in_depth_mean,body_in_deg,body_in_wdeg,body_out_deg,body_out_wdeg,body_in_depth_min,body_in_depth_mean,stmt_body_in_ratio,relation_entropy_in,mult_per_unique_in
Nat.gcd,28,0,656.0,0.0,28,29.0,1,0,21.535714285714285,51.0,0.15,0.0005315973335831208,0.00013336990030734743,-0.0,6.74961367021311e-05,16,0.0,38.166666666666664,0,0,50,719,0.1285277771117802,0.4464285714285714,3,0.787287656630395,0.2857142857142857,9.0,15.0,0.0,0.0,6.0,7.888888888888889,27.0,641.0,0.0,0.0,8.0,11.148148148148149,0.024922118380062305,0.10899213817780448,18.22222222222222
Nat.gcd_add_mul_left_left,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.15,0.00018918282099529974,0.00013336990030734743,-0.0,4.58231816570593e-08,1,0.0,1.8333333333333333,0,0,3,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_add_mul_left_right,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.15,0.00018918282099529974,0.00013336990030734743,-0.0,4.5823181657059347e-08,1,0.0,1.8333333333333333,0,0,3,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_add_mul_right_left,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.1,0.00018918278014057115,0.00013336990030734743,-0.0,4.5823181657059313e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_add_mul_right_right,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.1,0.00018918278014057115,0.00013336990030734743,-0.0,4.582318165705929e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_add_self_left,1,0,1.0,0.0,1,2.0,1,0,17.0,17.0,0.1,0.0001893436910876464,0.00013336990030734743,-0.0,2.987027851081032e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,10.0,10.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_add_self_right,1,0,1.0,0.0,1,2.0,1,0,18.0,18.0,0.15,0.00018934667595911853,0.00013336990030734743,-0.0,2.987027851081032e-08,1,0.0,2.333333333333333,0,0,4,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,10.0,10.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_assoc,1,0,2.0,0.0,1,2.0,1,0,9.0,9.0,0.05,0.00019121226436538344,0.00013336990030734743,-0.0,1.4084619427773965e-08,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,2.0,0.0,0.0,10.0,10.0,0.3333333333333333,2.172326580816448e-08,2.0
Nat.gcd_comm,1,0,1.0,0.0,1,2.0,1,0,9.0,9.0,0.05,0.0001899979845255558,0.00013336990030734743,-0.0,7.0423097138869825e-09,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,11.0,11.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_dvd_left,3,0,5.0,0.0,3,4.0,1,0,31.666666666666668,51.0,0.05,0.00019349631865688124,0.00013336990030734743,-0.0,4.88659379772078e-07,3,0.0,3.0,0,0,3,142,0.0436064354995175,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,5.0,0.0,0.0,11.0,11.666666666666666,0.16666666666666666,2.172326580816448e-08,1.6666666666666667
Nat.gcd_dvd_right,3,0,4.0,0.0,3,4.0,1,0,31.666666666666668,51.0,0.05,0.00019341597532913324,0.00013336990030734743,-0.0,2.640642766464958e-07,3,0.0,3.0,0,0,3,142,0.0436064354995175,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,4.0,0.0,0.0,12.0,12.333333333333334,0.2,2.172326580816448e-08,1.3333333333333333
Nat.gcd_greatest,0,17,0.0,62.0,17,0.05555555555555555,0,1,109.05882352941177,1230.0,0.0,0.00018878370468572813,0.0006150702856944572,0.00013423086896251104,-0.0,6,0.0,0.0,0,17,0,142,1.6731100778499075,0.38754325259515576,3,0.7086880282185832,0.23529411764705882,0.0,0.0,5.0,22.0,-1.0,-1.0,0.0,0.0,16.0,40.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
Nat.gcd_mul_gcd_eq_iff_dvd_mul_of_coprime,0,27,0.0,163.0,27,0.03571428571428571,0,1,99.51851851851852,1230.0,0.0,0.00018878370468572813,0.0010677703736637276,0.0003958076769693012,-0.0,12,0.0,0.0,1,27,0,142,2.1619611705550246,0.5871056241426612,4,1.0980560910559418,0.4074074074074074,0.0,0.0,10.0,26.0,-1.0,-1.0,0.0,0.0,26.0,137.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
Nat.gcd_mul_lcm,1,0,1.0,0.0,1,2.0,1,0,23.0,23.0,0.05,0.00018916533549253112,0.00013336990030734743,-0.0,5.036081606081734e-08,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,11.0,11.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_mul_left_add_left,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.15,0.00018918282099529974,0.00013336990030734743,-0.0,4.5823181657059313e-08,1,0.0,1.8333333333333333,0,0,3,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_mul_left_add_right,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.15,0.00018918282099529974,0.00013336990030734743,-0.0,4.582318165705929e-08,1,0.0,1.8333333333333333,0,0,3,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_mul_of_coprime_of_dvd,0,36,0.0,453.0,36,0.02702702702702703,0,1,158.83333333333334,1230.0,0.0,0.00018878370468572813,0.0006533829267400945,0.001127500081900533,-0.0,17,0.0,0.0,1,36,0,1649,0.03704965127114994,0.712962962962963,5,1.3734544189998354,0.5833333333333334,0.0,0.0,9.0,17.0,-1.0,-1.0,0.0,0.0,36.0,436.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
Nat.gcd_mul_right,2,0,2.0,0.0,2,3.0,1,0,43.5,51.0,0.05,0.00018921787790057823,0.00013336990030734743,-0.0,2.7266085667797225e-07,2,0.0,2.0,0,0,2,142,-0.2822942929705605,0.5,2,0.6931471805599453,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,22.0,22.0,0.3333333333333333,2.172326580816448e-08,1.0
Nat.gcd_mul_right_add_left,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.1,0.00018918278014057115,0.00013336990030734743,-0.0,4.58231816570593e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_mul_right_add_right,1,0,1.0,0.0,1,2.0,1,0,20.0,20.0,0.1,0.00018918278014057115,0.00013336990030734743,-0.0,4.5823181657059313e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_one_left,1,0,1.0,0.0,1,2.0,1,0,15.0,15.0,0.05,0.00019043612673580286,0.00013336990030734743,-0.0,7.74456406801219e-09,1,0.0,1.0,0,0,1,1649,-0.44052056047969745,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,13.0,13.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_one_right,1,0,1.0,0.0,1,2.0,1,0,15.0,15.0,0.05,0.00019043612673580286,0.00013336990030734743,-0.0,7.744564068012185e-09,1,0.0,1.0,0,0,1,1649,-0.44052056047969745,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,13.0,13.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_pos_of_pos_left,1,0,1.0,0.0,1,2.0,1,0,51.0,51.0,0.05,0.00018886404801347613,0.00013336990030734743,-0.0,2.2459510312558215e-07,1,0.0,1.0,0,0,1,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,27.0,27.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_rec,1,0,2.0,0.0,1,2.0,1,0,50.0,50.0,0.1,0.00018887898323293367,0.00013336990030734743,-0.0,9.206518078440728e-07,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,2.0,0.0,0.0,18.0,18.0,0.3333333333333333,2.172326580816448e-08,2.0
Nat.gcd_right_comm,0,9,0.0,132.0,9,0.1,0,1,360.22222222222223,1230.0,0.0,0.00018878370468572813,0.00037384228711698035,0.00016519463843465328,-0.0,7,0.0,0.0,1,9,0,719,-0.4568489442355802,0.49382716049382713,2,0.6869615765973234,0.4444444444444444,0.0,0.0,3.0,9.0,-1.0,-1.0,0.0,0.0,9.0,123.0,-1.0,-1.0,1.0,0.6931471805599453,0.0
Nat.gcd_self_add_left,1,0,1.0,0.0,1,2.0,1,0,17.0,17.0,0.1,0.0001893436910876464,0.00013336990030734743,-0.0,2.98702785108103e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,10.0,10.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_self_sub_left,1,0,1.0,0.0,1,2.0,1,0,19.0,19.0,0.1,0.00018932905920477735,0.00013336990030734743,-0.0,3.0790130186308584e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_self_sub_right,1,0,1.0,0.0,1,2.0,1,0,19.0,19.0,0.1,0.00018932905920477735,0.00013336990030734743,-0.0,3.07901301863086e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_sub_self_left,1,0,1.0,0.0,1,2.0,1,0,19.0,19.0,0.1,0.00018932905920477735,0.00013336990030734743,-0.0,3.079013018630859e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_sub_self_right,1,0,1.0,0.0,1,2.0,1,0,19.0,19.0,0.1,0.00018932905920477735,0.00013336990030734743,-0.0,3.079013018630857e-08,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,12.0,12.0,0.5,2.172326580816448e-08,1.0
Nat.gcd_zero_left,2,0,3.0,0.0,2,3.0,1,0,50.5,51.0,0.1,0.00018895932656068167,0.00013336990030734743,-0.0,1.1452469109696553e-06,2,0.0,2.5,0,0,3,142,-0.2822942929705605,0.5,2,0.6931471805599453,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,3.0,0.0,0.0,23.0,24.0,0.25,2.172326580816448e-08,1.5
Nat.gcd_zero_right,1,0,1.0,0.0,1,2.0,1,0,51.0,51.0,0.05,0.00018886404801347613,0.00013336990030734743,-0.0,2.2459510312558215e-07,1,0.0,1.0,0,0,1,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,27.0,27.0,0.5,2.172326580816448e-08,1.0
Nat.hasNotBit,4,0,22.0,0.0,4,5.0,1,0,21.5,22.0,0.15,0.0002191004846245882,0.00013336990030734743,-0.0,5.1573794331277765e-08,4,0.0,5.5,0,0,7,170,-0.17799591435063686,0.0,1,-0.0,0.0,2.0,2.0,0.0,0.0,7.0,8.5,4.0,20.0,0.0,0.0,10.0,15.25,0.14285714285714285,0.30463609734923813,3.6666666666666665
Nat.instAddCommSemigroup,1,0,7.0,0.0,1,2.0,1,0,18.0,18.0,0.1,0.0001960355285905698,0.00013336990030734743,-0.0,1.0832383248205501e-07,1,0.0,1.5,0,0,2,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,7.0,0.0,0.0,10.0,10.0,0.125,2.172326580816448e-08,7.0
Nat.instAddMonoid,1,0,6.0,0.0,1,2.0,1,0,158.0,158.0,0.15,0.00018880054737755646,0.00013336990030734743,-0.0,4.013056096966729e-05,1,0.0,1.8333333333333333,0,0,3,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,6.0,0.0,0.0,29.0,29.0,0.14285714285714285,2.172326580816448e-08,6.0
Nat.instAtLeastTwoHAddOfNat,10,0,1872.0,0.0,10,11.0,1,0,69.9,182.0,0.1,0.00022917792784111877,0.00013336990030734743,-0.0,0.007989152585186891,9,0.0,10.0,0,0,10,922,-0.22973962612228496,0.33999999999999986,3,0.639031859650177,0.2,9.0,12.0,0.0,0.0,7.0,8.666666666666666,10.0,1860.0,0.0,0.0,2.0,10.3,0.006985491671144546,0.038760538515670184,98.52631578947368
Nat.instCommMonoid,3,0,29.0,0.0,3,4.0,1,0,51.333333333333336,94.0,0.1,0.00020150275015348568,0.00013336990030734743,-0.0,3.353879251022916e-06,3,0.0,3.0,0,0,3,922,-0.508694764776473,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,29.0,0.0,0.0,11.0,13.333333333333334,0.03333333333333333,2.172326580816448e-08,9.666666666666666
Nat.instCommMonoidWithZero,2,0,4.0,0.0,2,3.0,1,0,22.0,27.0,0.05,0.0001959208729506957,0.00013336990030734743,-0.0,4.519148606904209e-08,2,0.0,2.0,0,0,2,142,-0.11934392873552152,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,4.0,0.0,0.0,13.0,13.5,0.2,2.172326580816448e-08,2.0
Nat.instCommSemigroup,3,0,44.0,0.0,3,4.0,1,0,37.666666666666664,65.0,0.05,0.00019722055938489513,0.00013336990030734743,-0.0,1.947599200532029e-05,3,0.0,3.0,0,0,3,142,-0.11934392873552152,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,44.0,0.0,0.0,11.0,20.666666666666668,0.022222222222222223,2.172326580816448e-08,14.666666666666666
Nat.instCommSemiring,6,0,847.0,0.0,6,7.0,1,0,149.66666666666666,220.0,0.1,0.00019870118355056415,0.00013336990030734743,-0.0,0.0019482110038551534,6,0.0,8.0,0,0,10,922,-0.32272467234034763,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,6.0,847.0,0.0,0.0,23.0,27.666666666666668,0.0011792452830188679,2.172326580816448e-08,141.16666666666666
Nat.instDiv,5,0,214.0,0.0,5,6.0,1,0,37.0,51.0,0.15,0.0002277987200842476,0.00013336990030734743,-0.0,3.4945193881823294e-05,5,0.0,5.0,0,0,5,142,-0.2822942929705605,0.72,4,1.3321790402101223,0.8,3.0,8.0,0.0,0.0,10.0,10.0,5.0,206.0,0.0,0.0,11.0,14.8,0.043478260869565216,0.15953665472235434,26.75
Nat.instDvd,25,0,231.0,0.0,25,26.0,1,0,19.52,65.0,0.15,0.0005561348985381957,0.00013336990030734743,-0.0,3.376289798449965e-05,12,0.0,25.0,0,0,25,142,1.9990108063199856,0.5312,3,0.8731726364245317,0.4,23.0,43.0,0.0,0.0,6.0,7.086956521739131,23.0,188.0,0.0,0.0,6.0,8.043478260869565,0.2328042328042328,0.4805878664228601,5.021739130434782
Nat.instIsCancelMulZero,3,0,8.0,0.0,3,4.0,1,0,36.333333333333336,65.0,0.05,0.0001925651977474002,0.00013336990030734743,-0.0,3.4754216309191935e-06,3,0.0,3.0,0,0,3,142,0.0436064354995175,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,8.0,0.0,0.0,12.0,19.333333333333332,0.1111111111111111,2.172326580816448e-08,2.6666666666666665
Nat.instIsStrictOrderedRing,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,22.0,22.0,0.5,2.172326580816448e-08,1.0
Nat.instLinearOrder,3,0,10.0,0.0,3,4.0,1,0,85.66666666666667,158.0,0.15,0.00020890923895642362,0.00013336990030734743,-0.0,5.379340705804882e-05,3,0.0,3.8333333333333335,0,0,5,142,-0.11934392873552152,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,10.0,0.0,0.0,2.0,14.0,0.09090909090909091,2.172326580816448e-08,3.3333333333333335
Nat.instMod,4,0,717.0,0.0,4,5.0,1,0,72.5,158.0,0.15,0.00020101368742840684,0.00013336990030734743,-0.0,0.0043026228769979386,4,0.0,4.5,0,0,5,719,-0.5348991737485616,0.375,2,0.5623351446188083,0.25,3.0,4.0,0.0,0.0,9.0,11.333333333333334,4.0,713.0,0.0,0.0,12.0,14.75,0.0070028011204481795,0.034510387043312746,102.42857142857143
Nat.instMonoid,12,0,1245.0,0.0,12,13.0,1,0,44.333333333333336,158.0,0.15,0.00024807009845804475,0.00013336990030734743,-0.0,0.006742164586731853,12,0.0,12.0,0,0,12,719,-0.4178238294790895,0.6666666666666667,4,1.242453324894,0.5,9.0,15.0,0.0,0.0,6.0,11.88888888888889,11.0,1230.0,0.0,0.0,9.0,15.0,0.012997562956945572,0.06521436351143224,62.25
Nat.instMonoidWithZero,2,0,720.0,0.0,2,3.0,1,0,126.0,158.0,0.15,0.000190869480580922,0.00013336990030734743,-0.0,0.004809264161922906,2,0.0,2.833333333333333,0,0,4,142,-0.2822942929705605,0.5,2,0.6931471805599453,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,720.0,0.0,0.0,20.0,20.5,0.0013869625520110957,2.172326580816448e-08,360.0
Nat.instMulOneClass,2,0,28.0,0.0,2,3.0,1,0,29.5,36.0,0.05,0.00019919135807920267,0.00013336990030734743,-0.0,1.3871522246186127e-06,2,0.0,2.0,0,0,2,719,-0.612949403261543,0.5,2,0.6931471805599453,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,28.0,0.0,0.0,10.0,14.5,0.034482758620689655,2.172326580816448e-08,14.0
Nat.instMulZeroClass,6,0,186.0,0.0,6,7.0,1,0,80.33333333333333,158.0,0.15,0.00020095998921022208,0.00013336990030734743,-0.0,0.00012753656611322198,6,0.0,9.833333333333334,0,0,15,142,-0.11934392873552152,0.6666666666666667,3,1.0986122886681096,0.6666666666666666,1.0,1.0,0.0,0.0,7.0,7.0,6.0,185.0,0.0,0.0,9.0,22.166666666666668,0.010752688172043012,0.03345727780196419,26.571428571428573
Nat.instMulZeroOneClass,1,0,6.0,0.0,1,2.0,1,0,65.0,65.0,0.05,0.00018899661361491642,0.00013336990030734743,-0.0,3.4528258878846728e-06,1,0.0,1.0,0,0,1,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,6.0,0.0,0.0,33.0,33.0,0.14285714285714285,2.172326580816448e-08,6.0
Nat.instNeZeroSucc,12,0,1874.0,0.0,12,13.0,1,0,68.83333333333333,182.0,0.15,0.00023148118259832973,0.00013336990030734743,-0.0,0.007989602388809648,11,0.0,13.666666666666666,0,0,16,922,-0.18324710301325361,0.4027777777777778,3,0.7214636866925115,0.25,9.0,12.0,0.0,0.0,7.0,8.666666666666666,12.0,1862.0,0.0,0.0,2.0,12.0,0.006977992485238862,0.03872603148034558,89.23809523809524
Nat.instNonUnitalSemiring,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,25.0,25.0,0.5,2.172326580816448e-08,1.0
Nat.instOne,2,0,2.0,0.0,2,3.0,1,0,63.5,109.0,0.15,0.0001910869594429391,0.00013336990030734743,-0.0,4.4980362275125065e-07,2,0.0,4.499999999999999,0,0,8,922,-0.5551872878855043,0.5,2,0.6931471805599453,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,7.0,20.5,0.3333333333333333,2.172326580816448e-08,1.0
Nat.instPartialOrder,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,24.0,24.0,0.5,2.172326580816448e-08,1.0
Nat.instPreorder,2,0,3.0,0.0,2,3.0,1,0,48.0,65.0,0.05,0.00019187223596168332,0.00013336990030734743,-0.0,5.99797951873519e-07,2,0.0,2.0,0,0,2,142,-0.2822942929705605,0.5,2,0.6931471805599453,0.5,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,6.0,20.5,0.6666666666666666,0.6365141682948128,1.0
Nat.instSemigroup,7,0,80.0,0.0,7,8.0,1,0,20.714285714285715,65.0,0.15,0.00022875955933544714,0.00013336990030734743,-0.0,3.493524193810769e-05,5,0.0,8.833333333333332,0,0,11,142,0.5324575282046345,0.24489795918367352,2,0.410116318288409,0.14285714285714285,0.0,0.0,0.0,0.0,-1.0,-1.0,7.0,80.0,0.0,0.0,10.0,15.285714285714286,0.012345679012345678,2.172326580816448e-08,11.428571428571429
Nat.instSemigroupWithZero,1,0,41.0,0.0,1,2.0,1,0,51.0,51.0,0.05,0.00019207778112339592,0.00013336990030734743,-0.0,9.208399228148874e-06,1,0.0,1.0,0,0,1,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,41.0,0.0,0.0,24.0,24.0,0.023809523809523808,2.172326580816448e-08,41.0
Nat.instSemiring,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,24.0,24.0,0.5,2.172326580816448e-08,1.0
Nat.instStarOrderedRing,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,22.0,22.0,0.5,2.172326580816448e-08,1.0
Nat.instStarRing,1,0,1.0,0.0,1,2.0,1,0,94.0,94.0,0.05,0.00018885116467682968,0.00013336990030734743,-0.0,2.852723911088673e-07,1,0.0,1.0,0,0,1,922,-0.5551872878855043,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,23.0,23.0,0.5,2.172326580816448e-08,1.0
Nat.iterate,28,0,282.0,0.0,28,29.0,1,0,26.214285714285715,47.0,0.15,0.0003476349473382351,0.00013336990030734743,-0.0,1.0465992598129247e-05,18,0.0,28.0,0,0,28,1649,0.0029374932889465514,0.5,2,0.6931471805599453,0.5,28.0,38.0,0.0,0.0,9.0,10.214285714285714,28.0,244.0,0.0,0.0,12.0,13.285714285714286,0.15918367346938775,0.3953208261113621,5.035714285714286
Nat.land,2,0,6.0,0.0,2,3.0,1,0,21.5,22.0,0.15,0.0001974914776637712,0.00013336990030734743,-0.0,1.7661681523492746e-08,2,0.0,4.0,0,0,7,170,-0.3489524422580282,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,6.0,0.0,0.0,13.0,17.0,0.14285714285714285,2.172326580816448e-08,3.0
Nat.lcm,8,0,35.0,0.0,8,9.0,1,0,14.25,51.0,0.1,0.000301810444681494,0.00013336990030734743,-0.0,2.0556626269681127e-06,5,0.0,8.0,0,0,8,142,0.6954078924396736,0.21875,2,0.37677016125643675,0.125,8.0,8.0,0.0,0.0,7.0,7.5,6.0,27.0,0.0,0.0,8.0,9.666666666666666,0.32142857142857145,0.5375444124735402,2.5
Nat.lcm_eq_iff,1,0,1.0,0.0,1,2.0,1,0,51.0,51.0,0.05,0.00018886404801347613,0.00013336990030734743,-0.0,2.2459510312558215e-07,1,0.0,1.0,0,0,1,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,13.0,13.0,0.5,2.172326580816448e-08,1.0
Nat.le_of_not_lt,1,0,1.0,0.0,1,2.0,1,0,158.0,158.0,0.15,0.00018878651180103287,0.00013336990030734743,-0.0,6.688426828277883e-06,1,0.0,1.8333333333333333,0,0,3,142,-0.2822942929705605,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,58.0,58.0,0.5,2.172326580816448e-08,1.0
